session_id,date,education_level,subject,task_type,duration_min,num_prompts,ai_help_level,result,reuse_ai_again,satisfaction_rating,prompts_per_min,is_success
1,2025-06-01,Graduate,Business,Studying,68,11,2,Confused,False,5,0.16176470588235295,0
2,2025-06-02,Undergraduate,Business,Studying,51,18,5,Gave Up,True,4,0.35294117647058826,0
3,2025-06-03,High School,Psychology,Writing,83,10,5,Confused,False,4,0.12048192771084337,0
4,2025-06-04,High School,Engineering,Studying,54,13,4,Drafted Ideas,False,2,0.24074074074074073,0
5,2025-06-05,High School,Engineering,Coding,89,21,2,Drafted Ideas,False,4,0.23595505617977527,0
6,2025-06-06,Graduate,Business,Writing,118,6,4,Gave Up,True,2,0.05084745762711865,0
7,2025-06-07,Graduate,Business,Studying,36,15,4,Gave Up,False,1,0.4166666666666667,0
8,2025-06-08,Graduate,Engineering,Coding,59,7,3,Confused,False,3,0.11864406779661017,0
9,2025-06-09,High School,History,Writing,77,15,3,Gave Up,True,1,0.19480519480519481,0
10,2025-06-10,High School,Mathematics,Brainstorming,43,4,5,Completed,True,3,0.09302325581395349,1
11,2025-06-11,Undergraduate,Business,Writing,61,21,5,Confused,False,5,0.3442622950819672,0
12,2025-06-12,High School,Engineering,Studying,108,5,4,Drafted Ideas,True,1,0.046296296296296294,0
13,2025-06-13,High School,Computer Science,Writing,78,26,2,Gave Up,False,3,0.3333333333333333,0
14,2025-06-14,Undergraduate,Engineering,Homework Help,84,11,4,Completed,False,3,0.13095238095238096,1
15,2025-06-15,Undergraduate,Computer Science,Coding,46,28,4,Drafted Ideas,True,5,0.6086956521739131,0
16,2025-06-16,High School,History,Coding,27,25,2,Drafted Ideas,True,5,0.9259259259259259,0
17,2025-06-17,Graduate,Business,Brainstorming,55,13,5,Partial Complete,True,5,0.23636363636363636,1
18,2025-06-18,Graduate,Psychology,Writing,54,12,3,Partial Complete,True,3,0.2222222222222222,1
19,2025-06-19,Undergraduate,Biology,Studying,56,25,3,Confused,True,3,0.44642857142857145,0
20,2025-06-20,High School,Business,Homework Help,59,11,4,Partial Complete,True,4,0.1864406779661017,1
21,2025-06-21,Graduate,History,Coding,82,5,4,Gave Up,True,4,0.06097560975609756,0
22,2025-06-22,Undergraduate,Business,Studying,34,4,2,Partial Complete,True,2,0.11764705882352941,1
23,2025-06-23,Graduate,Engineering,Coding,34,21,2,Completed,False,2,0.6176470588235294,1
24,2025-06-24,Undergraduate,History,Studying,49,10,2,Completed,True,2,0.20408163265306123,1
25,2025-06-25,High School,Mathematics,Writing,21,26,4,Partial Complete,True,1,1.2380952380952381,1
26,2025-06-26,Undergraduate,Computer Science,Studying,32,18,4,Confused,False,4,0.5625,0
27,2025-06-27,Graduate,Computer Science,Studying,110,11,5,Partial Complete,False,5,0.1,1
28,2025-06-28,Graduate,Biology,Writing,61,22,2,Gave Up,False,1,0.36065573770491804,0
29,2025-06-29,Undergraduate,Biology,Coding,57,13,3,Drafted Ideas,True,4,0.22807017543859648,0
30,2025-06-30,High School,Biology,Studying,34,27,4,Confused,False,2,0.7941176470588235,0
31,2025-07-01,High School,Biology,Coding,23,14,4,Completed,False,4,0.6086956521739131,1
32,2025-07-02,Graduate,Business,Brainstorming,69,21,3,Gave Up,False,3,0.30434782608695654,0
33,2025-07-03,Graduate,Mathematics,Brainstorming,29,20,4,Completed,True,3,0.6896551724137931,1
34,2025-07-04,Undergraduate,Engineering,Coding,105,25,5,Partial Complete,True,1,0.23809523809523808,1
35,2025-07-05,Undergraduate,Mathematics,Studying,34,15,4,Gave Up,True,3,0.4411764705882353,0
36,2025-07-06,Undergraduate,Business,Studying,113,28,2,Gave Up,False,2,0.24778761061946902,0
37,2025-07-07,Undergraduate,History,Coding,94,19,3,Drafted Ideas,True,4,0.20212765957446807,0
38,2025-07-08,Graduate,Business,Homework Help,94,10,2,Completed,False,1,0.10638297872340426,1
39,2025-07-09,Undergraduate,Business,Studying,23,21,5,Partial Complete,False,5,0.9130434782608695,1
40,2025-07-10,Undergraduate,Mathematics,Homework Help,72,13,4,Gave Up,True,5,0.18055555555555555,0
41,2025-07-11,Undergraduate,Engineering,Writing,98,11,3,Completed,True,4,0.11224489795918367,1
42,2025-07-12,Undergraduate,Computer Science,Writing,110,28,4,Drafted Ideas,False,2,0.2545454545454545,0
43,2025-07-13,Graduate,History,Homework Help,35,27,5,Gave Up,True,1,0.7714285714285715,0
44,2025-07-14,Undergraduate,Mathematics,Studying,118,27,5,Partial Complete,True,4,0.2288135593220339,1
45,2025-07-15,Graduate,Computer Science,Writing,45,12,4,Gave Up,False,1,0.26666666666666666,0
46,2025-07-16,Undergraduate,Computer Science,Brainstorming,44,7,3,Completed,False,3,0.1590909090909091,1
47,2025-07-17,Graduate,History,Writing,58,23,3,Gave Up,False,1,0.39655172413793105,0
48,2025-07-18,High School,Business,Brainstorming,89,15,2,Confused,False,5,0.16853932584269662,0
49,2025-07-19,Graduate,Psychology,Studying,105,22,3,Partial Complete,True,5,0.20952380952380953,1
50,2025-07-20,Graduate,Psychology,Homework Help,46,19,4,Drafted Ideas,True,1,0.41304347826086957,0
